,Game_ID,Rated_(T/F),Number_of_Turns,Game_Status,Winner,Time_Increment,Moves,Opening_Eco,Opening_Ply,Game_Duration,Elo_Difference,Duration_Category,Opening,Time_Per_Move,White_Rating_Tier,Black_Rating_Tier,Average Time
9302,x6FrUWtW,True,93,resign,white,10+20,e4 e5 Nf3 Nc6 Bb5 Bd6 Bxc6 dxc6 c3 Nf6 d4 Nxe4 dxe5 Bc5 Qxd8+ Kxd8 Bg5+ Ke8 O-O Be6 b4 Be7 Bxe7 Kxe7 Re1 Bf5 g4 Bxg4 Rxe4 Bxf3 Rd4 Rhe8 Nd2 Be2 Re1 Bh5 Ne4 Kf8 Ng5 f6 exf6 Rxe1+ Kg2 Bg6 fxg7+ Kxg7 Rd7+ Kg8 Rxc7 Rf8 Rxb7 Rf5 Nh3 Re2 Rxa7 Bf7 a4 Bd5+ Kf1 Bc4 Kg2 Rf6 Rc7 Re1 b5 Bd5+ Kg3 Rf3+ Kg4 Re4+ Kxf3 Re7+ Kf4 Rxc7 b6 Rf7+ Ke5 Rf3 b7 Rf8 Kd6 Bg2 Nf4 Rb8 Kc7 Rxb7+ Kxb7 c5+ Nxg2 Kf8 a5 Ke7 a6,C60,5,19.39,-109,Short,Ruy Lopez,0.21,Intermediate,Intermediate,0.01
9303,WtPRFdFr,True,78,resign,black,9+9,g3 d5 Bg2 Nf6 d4 g6 Bf4 Nc6 Nc3 Bg7 Nb5 O-O Nxc7 Rb8 Nxd5 Bf5 Bxb8 Qxb8 Nxe7+ Nxe7 e4 Nxe4 g4 Nxf2 Kxf2 Qf4+ Bf3 Bxg4 h3 Bxd4+ Kf1 Be6 c3 Bb6 h4 Rd8 Qxd8+ Bxd8 Rd1 Bc4+ Kg2 Bb6 Rd4 Bxd4 cxd4 Nf5 Rh3 Qd2+ Be2 Ne3+ Kf3 Bd5+ Kf2 Ng4+ Kf1 Qf4+ Ke1 Qf2+ Kd2 Qxg1 Bxg4 Qxg4 Re3 Qxd4+ Rd3 Qxb2+ Ke3 Bxa2 Rd8+ Kg7 h5 Qe5+ Kf3 Qf6+ Kg4 Qxd8 h6+ Kxh6,A00,1,17.88,-127,Short,Hungarian Opening,0.23,Intermediate,Intermediate,0.01
9304,U2c6Ntqe,True,38,mate,black,25+0,Nf3 d5 d4 Nf6 Bg5 g6 Bxf6 exf6 g3 f5 Bg2 Bg7 c3 O-O O-O Re8 Ng5 Qxg5 f4 Qe7 Qb3 c6 Re1 b6 c4 Bxd4+ Kh1 Bf2 Rf1 Bd4 cxd5 Ba6 Rd1 Qxe2 Rxd4 Qe1+ Bf1 Qxf1#,D03,6,16.4,-207,Short,Queen's Pawn Game: Torre Attack |  Gruenfeld Variation,0.43,Intermediate,Intermediate,0.03
9305,5gudvgsx,True,32,mate,black,15+2,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 d3 Bc5 Qf3 Be6 Nxe6 fxe6 Qh5+ g6 Qh3 Qf6 O-O Nd4 Bb3 O-O Nc3 Nxb3 axb3 Bxf2+ Rxf2 Qxf2+ Kh1 Qf1#,C57,8,14.05,-94,Short,Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation,0.44,Intermediate,Intermediate,0.03
9306,fbSlJaL8,True,56,mate,black,10+6,e4 e5 Qh5 Nc6 Bc4 g6 Qf3 Nh6 Nc3 Bc5 Nd5 Be7 d3 Nd4 Qd1 Bg5 Bxg5 Qxg5 Nf3 Qxg2 Nxc7+ Kf8 Rg1 Nxf3+ Ke2 Nd4+ Kd2 Qxf2+ Kc1 Rb8 Rf1 Qxh2 Ne6+ dxe6 c3 Ne2+ Kb1 Ng3 Rf3 b5 Bb3 b4 d4 Nxe4 a3 Nd2+ Ka2 Nxb3 Kxb3 Bb7 axb4 Bd5+ Ka4 Qxb2 c4 Qxb4#,C20,3,22.03,-132,Short,King's Pawn Game: Wayward Queen Attack,0.39,Intermediate,Intermediate,0.02
9307,hBhPrmie,True,34,mate,black,15+0,d4 d5 Nf3 Nc6 Bf4 g6 c3 Bg7 e3 Bf5 Nbd2 Nf6 Bb5 Nh5 Bxc6+ bxc6 g4 Bxg4 Qa4 Nxf4 exf4 Qd6 h3 Bd7 O-O O-O c4 Bxh3 c5 Qxf4 Rfe1 Qg4+ Kh2 Qg2#,D02,4,13.61,-193,Short,Queen's Pawn Game: Chigorin Variation,0.4,Beginner,Intermediate,0.03
9308,5pJTtJLG,True,101,resign,white,29+30,d4 d5 c4 Nf6 Nc3 Nc6 Nf3 g6 h3 Bg7 Bf4 O-O e3 Nh5 Bh2 Re8 g4 Nf6 Nb5 Qd7 Nxc7 Qe6 Nxa8 Ne4 Nc7 Qd7 Nxe8 Qxe8 Bd3 Nd6 Bxd6 exd6 O-O h5 Nh2 Nb4 Bc2 Be6 a3 Nxc2 Qxc2 Qd7 b3 f5 gxh5 gxh5 f4 Bf6 Qf2 dxc4 b4 c3 Qg3+ Kf8 Qg6 Bg7 Qxh5 Qc6 Qe2 Bc4 Qc2 Be6 Rfc1 Qe8 Qxc3 Qg6+ Kf2 Bd5 Rg1 Qh6 Qc8+ Kf7 Qc7+ Kf8 Qc8+ Kf7 Qxf5+ Qf6 Qxf6+ Bxf6 Ng4 Bh4+ Ke2 Bc4+ Kd2 Bd8 Rac1 Bd5 Nf2 a5 e4 Bb3 bxa5 Bxa5+ Kd3 Bb6 Rb1 Bxd4 Kxd4 Bc2 Rxb7+,D06,4,22.48,0,Short,Queen's Gambit Refused: Marshall Defense,0.22,Intermediate,Intermediate,0.01
9309,uZFIyORe,True,74,outoftime,black,10+15,e4 e5 Qh5 Nc6 Bb5 g6 Qe2 Bc5 Bxc6 bxc6 Qc4 d6 d3 Nf6 Be3 Bxe3 fxe3 O-O Nd2 Rb8 Qxc6 Rb6 Qc3 Be6 Ngf3 Qd7 O-O Rfb8 Rfb1 Ng4 Nc4 Rc6 b3 Nxe3 Qa5 Nxc2 Qxa7 Rc8 Na5 Rc3 Rc1 Bh3 Rab1 Rxd3 Rxc2 Bxg2 Ne1 Bxe4 Nxd3 Qg4+ Kf1 Bxd3+ Ke1 Bxc2 Rc1 Qe4+ Kd2 Bd3 Qe3 Qg2+ Kxd3 Ra8 Nc4 Qd5+ Kc3 Rxa2 b4 Qc6 Kb3 Qa4+ Kc3 d5 Qd2 Rxd2,C20,3,37.37,-107,Short,King's Pawn Game: Wayward Queen Attack,0.5,Intermediate,Intermediate,0.01
9310,1BOkb1QE,True,62,resign,black,8+8,e4 e5 Nf3 Nc6 d4 d6 d5 Nce7 Nc3 Ng6 g3 Nf6 Bg5 Qd7 Bxf6 gxf6 Bb5 c6 dxc6 bxc6 Ba4 Bh6 Nd5 Qb7 Nxf6+ Kf8 Qxd6+ Ne7 Bxc6 Qxb2 O-O Rb8 Nxe5 Kg7 Qxe7 Rf8 Nfd7 Ba6 Rfe1 Qxc2 Nxb8 Rxb8 Qxf7+ Kh8 Qf6+ Bg7 Qd6 Rb2 Nf7+ Kg8 Qf4 Qxc6 Ng5 h6 Nf3 Qc5 Qe3 Qc6 Rac1 Qd7 Qd2 Rxd2,C44,5,23.31,123,Short,Scotch Game,0.38,Intermediate,Intermediate,0.02
9311,JqfWq204,True,60,resign,black,10+0,d4 d5 e3 e6 Nf3 Nf6 Bd3 Qe7 O-O h5 h4 c5 c4 dxc4 Bxc4 cxd4 Nxd4 Bd7 g3 Nc6 Nc3 Nxd4 Qxd4 a6 Rd1 Rd8 Qb6 Ng4 Qxb7 Bc6 Qxc6+ Rd7 Qa8+ Qd8 Qxa6 Rxd1+ Nxd1 Qxd1+ Kg2 Qd8 Qb7 Bc5 Bb5+ Kf8 a4 Kg8 Bc4 Rh6 a5 Rf6 f4 Nxe3+ Kh3 Nxc4 a6 e5 Qc6 Rxc6 a7 Nb6,D05,7,11.24,141,Short,Colle System #2,0.19,Intermediate,Intermediate,0.02
9312,HgZqaU8G,True,19,resign,white,15+9,d4 d5 Nf3 Nc6 e3 Nf6 c4 dxc4 Bxc4 Bf5 Qb3 e6 O-O b6 Rd1 Na5 Qa4+ Nd7 Bb5,D02,4,5.82,87,Short,Queen's Pawn Game: Chigorin Variation,0.31,Intermediate,Intermediate,0.05
9313,BMy4i4Y6,True,24,mate,black,15+5,e3 e5 Be2 Nc6 Nf3 d5 O-O Be6 d4 Bd6 Na3 e4 Nd2 Nf6 c3 h5 h3 Qd7 b4 Bxh3 gxh3 Qxh3 b5 Qh2#,A00,1,9.18,-5,Short,Van't Kruijs Opening,0.38,Intermediate,Intermediate,0.04
9314,hfih2smr,True,66,mate,black,5+8,d4 b6 e4 e6 Nc3 Bb7 Bd3 c6 Nf3 d5 O-O dxe4 Bxe4 Nf6 Be3 Nxe4 Nxe4 g6 Nfg5 Qe7 Qf3 Bg7 Rad1 Nd7 c4 Nf6 Nc3 O-O c5 b5 Rfe1 b4 Nce4 Nxe4 Nxe4 f5 Nd6 Rab8 a3 bxa3 bxa3 Qc7 Rb1 Ba6 Bf4 Rxb1 Rxb1 Qa5 Qxc6 Bd3 Rc1 Qxa3 Ne8 Qxc1+ Bxc1 Bxd4 Qxe6+ Kh8 Bh6 Rg8 Nf6 Rb8 Qd6 Rb1+ Bc1 Rxc1#,A40,2,14.16,-3,Short,English Defense #2,0.21,Intermediate,Intermediate,0.01
9315,dpVslrR2,True,53,mate,white,5+8,d4 d6 Nf3 g6 e3 Bg7 Bc4 Nf6 O-O O-O Nc3 Nc6 Nd5 Nxd5 Bxd5 e6 Bc4 d5 Bb3 a5 c4 a4 Bxa4 Rxa4 Qxa4 dxc4 Qxc4 Na5 Qb4 b6 b3 Ba6 Ba3 Bxf1 Kxf1 Qd5 Qe7 Nc6 Qxc7 Ra8 Bd6 Qb5+ Kg1 Ra7 Qc8+ Bf8 Rc1 Ne7 Qb8 Rxa2 Bxe7 Kg7 Qxf8#,A41,2,14.0,-108,Short,Queen's Pawn,0.26,Intermediate,Intermediate,0.02
9316,z4zn5SuK,True,29,mate,white,8+8,d4 d5 Nf3 Nf6 Bf4 e6 Nc3 Bb4 Qd3 Nc6 O-O-O O-O e4 Bxc3 Qxc3 Nxe4 Qe1 h6 c4 Re8 Ne5 Nxe5 Bxe5 Bd7 f3 Nd6 Qg3 Ba4 Qxg7#,D02,5,6.14,13,Short,Queen's Pawn Game: London System,0.21,Intermediate,Intermediate,0.03
9317,FUHof5BD,True,93,mate,white,5+5,e4 e5 f4 Nc6 Nf3 d6 Bc4 Be6 Bxe6 fxe6 O-O Qe7 c3 O-O-O a4 exf4 d4 e5 b4 Nf6 d5 Nxb4 cxb4 Nxe4 b5 b6 a5 h5 axb6 cxb6 Qe2 Ng3 hxg3 g5 Nc3 h4 g4 h3 Ba3 Qh7 gxh3 Qxh3 Qg2 Qh6 Kf2 Re8 Ne4 Kd7 Rh1 Qg7 Rxh8 Qxh8 Nfxg5 Rc8 Rc1 Rxc1 Bxc1 Be7 Qh3 Qc8 Qc3 Qb7 Qc6+ Qxc6 dxc6+ Kd8 Ne6+ Kc8 Kf3 d5 N4g5 e4+ Nxe4 dxe4+ Kxe4 Bd6 Bxf4 Bxf4 Kxf4 Kb8 g5 a6 g6 axb5 g7 b4 g8=Q+ Ka7 c7 b3 c8=Q b2 Qa8#,C30,4,13.11,-39,Short,King's Gambit Declined |  Queen's Knight Defense,0.14,Intermediate,Intermediate,0.01
9318,A2u4TjKf,True,20,mate,black,8+10,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 Nxf7 Qh4 Bxd5 Bc5 d4 Bxd4 Be3 Bxe3 Nxh8 Qxf2#,C57,11,6.29,-337,Short,Italian Game: Two Knights Defense |  Fried Liver Attack,0.31,Beginner,Intermediate,0.05
9319,O371pqab,True,35,resign,black,8+8,f4 d5 d4 Nc6 e3 e6 Bb5 Nf6 Bxc6+ bxc6 c3 Ne4 g3 Bd6 Ne2 O-O h4 f6 b4 e5 dxe5 fxe5 fxe5 Bxe5 Bb2 Bg4 Nd2 Nxg3 Nxg3 Bxd1 Kxd1 Bxg3 Rg1 Qxh4 Kc1,A03,2,5.09,-74,Short,Bird Opening: Dutch Variation,0.15,Intermediate,Intermediate,0.03
9320,kfELDqCo,True,41,mate,white,10+1,d4 d5 g3 Nc6 Bg2 e5 Nf3 Bd6 a3 Nf6 b4 O-O Bb2 b6 Nbd2 a5 c3 g6 O-O Re8 e3 Ba6 Re1 Bd3 h4 Ng4 h5 e4 Nh4 g5 Qxg4 h6 Nf5 Qd7 Nxh6+ Kg7 Qxd7 Kxh6 Qxf7 Rf8 Qg6#,D00,2,9.82,109,Short,Queen's Pawn Game,0.24,Intermediate,Intermediate,0.02
9321,Ja8QLAdX,True,69,resign,white,20+0,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5 a3 O-O b4 Be7 b5 Nd4 Nxe5 Bc5 Nd5 Nxe4 d3 d6 Nf3 Re8 O-O Bf5 dxe4 Bxe4 Nxd4 c6 bxc6 bxc6 Nxc6 Qh4 Nc7 g6 Nxe8 Rxe8 Nb4 Re5 Nc6 Rg5 Bxg5 Qxg5 g3 Qf6 Bd3 Bxc6 Rb1 Kg7 Bb5 Be4 Bd7 Qe7 Bg4 Qg5 Bf3 Bf5 Rb7 Qf6 g4 Be6 h4 Qxh4 Bd5 Bxg4 Rxf7+ Kh6 Qd2+ g5 Qd3,C50,8,31.21,145,Short,Four Knights Game: Italian Variation,0.45,Intermediate,Intermediate,0.01
9322,GbqXTRfR,True,61,mate,white,12+8,d4 d5 Nf3 e6 e3 Nf6 Nc3 Nc6 Bd3 Bd6 O-O Ng4 e4 Qh4 g3 Qxh2+ Nxh2 Nxh2 Kxh2 e5 Nxd5 exd4 Qf3 Be6 Bf4 Ne5 Bxe5 Bxe5 Bb5+ c6 Ba4 b5 Bb3 cxd5 exd5 Bd7 d6 O-O Rac1 Bxd6 Rfe1 h6 c4 bxc4 Rxc4 Be6 Rc6 Rae8 Bc2 Bg4 Qxg4 Rxe1 Rxd6 Ree8 Rxh6 f6 Qg6 Rf7 Bb3 Re2 Qxf7#,D05,6,10.83,56,Short,Colle System,0.18,Intermediate,Intermediate,0.02
9323,ZZZIvvU0,True,30,resign,black,1+30,d4 d5 Qd3 Nf6 Nf3 Bg4 Bf4 e6 Qc3 Nc6 Na3 Bb4 Qxb4 Nxb4 Nb5 O-O Bxc7 Qd7 e3 Nxc2+ Kd1 Nxa1 Kd2 Ne4+ Ke1 a6 Ne5 Qe7 Nxg4 Qb4+,D00,3,5.01,-90,Short,Amazon Attack,0.17,Intermediate,Intermediate,0.03
9324,u5aJxrLW,True,35,resign,white,10+0,e4 e5 Nf3 Nc6 d3 d5 Nbd2 Nf6 exd5 Qxd5 Be2 Nd4 c4 Qd6 Nxd4 Qxd4 Nf3 Qc5 Be3 Qb4+ Bd2 Qxb2 O-O Bb4 Bxb4 Qxb4 Nxe5 Qd6 Nf3 Bg4 Re1 Bxf3 Bxf3+ Kd8 Bxb7,C44,4,6.69,-40,Short,King's Knight Opening: Normal Variation,0.19,Intermediate,Intermediate,0.03
9325,RhPoF6U2,True,41,outoftime,white,3+10,e4 e5 d3 Nc6 c3 d6 Qf3 Be6 h3 Nf6 Ne2 d5 Ng3 Qd6 Be2 O-O-O Nd2 g6 Qxf6 Be7 Qf3 d4 Bd1 f5 exf5 Rhf8 O-O Bxf5 Nde4 Qd7 Nxf5 Rxf5 Qg3 h5 Qxg6 Rdf8 Bxh5 Bh4 g3 Be7 Bg4,C20,3,10.92,61,Short,King's Pawn Game: Leonardis Variation,0.27,Intermediate,Intermediate,0.02
9326,I2niMJ0b,True,60,resign,white,10+0,e4 e5 Bc4 Nc6 Nf3 Nf6 Nc3 Bc5 d3 Ng4 O-O d6 d4 f5 dxc5 fxe4 Ng5 Nd4 Ngxe4 Nxh2 Kxh2 Qh4+ Kg1 Bg4 Be2 h5 Be3 Nf5 Bg5 Bxe2 Qxe2 Nd4 Qd3 Nf3+ Qxf3 Qg4 Qxg4 hxg4 cxd6 c6 Be7 a5 Ng3 a4 b3 Ra5 Nxa4 Rd5 c4 Rd4 Rae1 Rh6 Rxe5 Kd7 Nf5 Re6 Rxe6 Kxe6 Nxd4+ Kd7,C50,9,14.43,134,Short,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,0.24,Intermediate,Intermediate,0.02
9327,xqdaahOq,True,30,resign,black,120+1,e4 e5 Nc3 Nc6 d3 Nf6 Nh3 Bc5 Nd5 O-O a3 Ng4 Qxg4 g6 c4 h5 Qg5 Be7 Nf6+ Bxf6 Qh6 Nd4 Bg5 Nc2+ Kd2 Nxa1 g4 hxg4 Ng1 Bxg5+,C25,4,9.06,-540,Short,Vienna Game: Max Lange Defense,0.3,Beginner,Intermediate,0.03
9328,SWzutPKI,True,62,outoftime,black,8+0,d4 e6 Nf3 Nf6 e3 c5 Bc4 Nc6 O-O Ne4 Bd2 cxd4 exd4 d5 Bb3 Bd6 Re1 Qc7 Nc3 Nxd2 Qxd2 Bd7 Nxd5 Qb8 Qg5 O-O Nf6+ Kh8 c3 gxf6 Qxf6+ Kg8 Ng5 Qd8 Bc2 Qxf6 Ne4 Qe7 Re3 e5 d5 Na5 Nxd6 Qxd6 Rg3+ Kh8 Rg5 Qh6 Rxe5 Qg7 Rae1 Bh3 g3 Nc4 Rh5 Qg4 Rxh7+ Kg8 Re4 f5 Re6 Kxh7,A46,5,15.2,95,Short,Yusupov-Rubinstein System,0.25,Intermediate,Intermediate,0.02
9329,feCKPDg0,True,67,mate,white,15+5,e4 e5 f4 Nc6 Nc3 d6 Bc4 exf4 Nf3 Nf6 d4 Ng4 Bxf4 g6 h3 Nf6 O-O Qe7 e5 Nh5 exd6 cxd6 Bh2 Bg7 Re1 Be6 d5 O-O dxe6 f5 Nd5 Qd8 e7 Qa5 exf8=Q+ Rxf8 Ne7+ Kh8 Nxc6 Qc5+ Kh1 Qxc4 Ncd4 Rc8 b3 Qa6 c4 Nf6 Ne6 Ne4 Nxg7 Nf2+ Kg1 Nxd1 Raxd1 Qb6+ Kh1 Kxg7 Bxd6 Qf2 Be5+ Kh6 Bf4+ Kg7 Rd7+ Kf6 Bg5#,C25,5,22.15,4,Short,Vienna Game: Vienna Gambit,0.33,Intermediate,Intermediate,0.01
9330,6l8p3VLB,True,44,outoftime,black,2+15,d4 d5 c4 Bf5 cxd5 Qxd5 Nc3 Qd7 e4 Bg6 Nf3 f5 Ne5 Qd6 Nxg6 Qxg6 Nd5 Qc6 f3 e6 Nb4 Qb6 Nd3 Nc6 exf5 O-O-O fxe6 Nxd4 Be3 Re8 Nf4 Nc2+ Qxc2 Qxe3+ Ne2 Rxe6 a3 b5 Rc1 Bd6 Kd1 Nf6 g3 Rd8,D02,4,12.82,18,Short,Queen's Gambit Refused: Baltic Defense,0.29,Intermediate,Intermediate,0.02
9331,FlHlmE9i,True,41,resign,white,15+5,e4 e5 Bc4 Nf6 d3 g6 h3 Bc5 a4 b6 g4 Bb7 h4 h6 g5 Ng4 Qxg4 h5 Qf3 O-O Qg3 Nc6 c3 Re8 Qf3 Re7 Qf6 Na5 Qxg6+ Kf8 Qh6+ Ke8 Ba2 Re6 Qh8+ Ke7 Qg7 Ba6 g6 Bxd3 Bg5+,C24,4,9.85,51,Short,Bishop's Opening: Berlin Defense,0.24,Intermediate,Intermediate,0.02
