Rated_(T/F),Number_of_Turns,Game_Status,Winner,Time_Increment,Moves,Opening_Eco,Opening_Name,Opening_Ply,Game_Duration,White_Rating_Tier,Black_Rating_Tier,Time_Per_Move,Average Time
1.0,49,1.0,white,15.0,1924,D00,Queen's Pawn Game #2,3,0.0,2.0,2.0,0.24,0.02
1.0,61,1.0,white,15.0,5533,C40,Gunderam Defense,4,0.0,2.0,2.0,0.26,0.02
1.0,66,3.0,black,15.0,2164,C00,Rat Defense: Small Center Defense,4,0.0,2.0,0.0,0.16,0.02
1.0,41,3.0,white,15.0,6620,C00,French Defense: Steinitz Attack,3,0.0,2.0,2.0,0.1,0.02
1.0,42,1.0,black,15.0,4519,C65,Ruy Lopez: Berlin Defense #2,6,0.0,2.0,2.0,0.33,0.02
1.0,21,3.0,black,15.0,6051,C21,Center Game,5,0.0,2.0,2.0,0.16,0.05
1.0,33,1.0,white,15.0,5105,C46,Three Knights Opening #2,6,0.0,2.0,2.0,0.25,0.03
1.0,51,1.0,white,15.0,4281,C24,Bishop's Opening: Berlin Defense,4,0.0,2.0,2.0,0.16,0.02
1.0,56,1.0,black,15.0,1556,D06,Queen's Gambit Refused: Austrian Defense,4,0.0,2.0,2.0,0.24,0.02
1.0,37,1.0,white,15.0,5424,C42,Russian Game: Three Knights Game,5,0.0,2.0,2.0,0.13,0.03
1.0,35,3.0,white,15.0,645,A40,Mikenas Defense,2,0.0,2.0,2.0,0.31,0.03
1.0,86,1.0,black,15.0,4356,C26,Vienna Game: Stanley Variation,5,0.0,2.0,2.0,0.25,0.01
0.0,33,3.0,white,15.0,2341,A00,Van't Kruijs Opening,1,0.0,2.0,2.0,0.27,0.03
0.0,41,1.0,white,15.0,5574,C40,Elephant Gambit,4,0.0,2.0,2.0,0.21,0.02
0.0,30,3.0,black,15.0,6629,C02,French Defense: Advance Variation |  Milner-Barry Gambit,11,0.0,2.0,2.0,0.14,0.03
0.0,20,2.0,black,15.0,4941,C57,Italian Game: Two Knights Defense |  Fritz Variation,10,0.0,0.0,2.0,0.2,0.05
0.0,114,1.0,black,15.0,357,A10,English Opening: Anglo-Lithuanian Variation,2,0.0,2.0,2.0,0.2,0.01
0.0,36,1.0,black,15.0,5782,C41,Philidor Defense,5,0.0,2.0,2.0,0.18,0.03
0.0,20,1.0,black,15.0,5944,C20,King's Pawn Game: Mengarini's Opening,3,0.0,2.0,2.0,0.16,0.05
0.0,47,2.0,white,15.0,2550,B00,St. George Defense,2,0.0,2.0,2.0,0.12,0.02
0.0,66,1.0,black,15.0,253,A00,Anderssen Opening,1,0.0,2.0,2.0,0.16,0.02
0.0,49,1.0,white,15.0,4447,C64,Ruy Lopez: Classical Variation |  Central Variation,7,0.0,2.0,2.0,0.23,0.02
1.0,34,1.0,black,15.0,1291,D01,Queen's Pawn Game: Chigorin Variation,4,0.0,2.0,0.0,0.2,0.03
1.0,27,2.0,white,6.05,4206,C23,Bishop's Opening,3,0.0,2.0,2.0,0.37,0.04
1.0,19,3.0,white,10.0,4161,C23,Bishop's Opening,3,0.0,2.0,2.0,0.11,0.05
1.0,23,3.0,white,10.0,4456,C60,Ruy Lopez,5,0.0,2.0,2.0,0.06,0.05
1.0,53,3.0,black,10.0,2790,B23,Sicilian Defense: Closed Variation,3,0.0,2.0,2.0,0.18,0.02
1.0,28,2.0,black,10.0,4841,C50,Italian Game: Giuoco Pianissimo |  Normal,8,0.0,2.0,2.0,0.21,0.04
1.0,14,3.0,black,10.0,2755,B25,Sicilian Defense: Closed Variation |  Traditional,4,0.0,2.0,2.0,0.27,0.07
1.0,26,3.0,black,10.0,2778,B23,Sicilian Defense: Closed Variation,3,0.0,2.0,2.0,0.21,0.04
1.0,45,3.0,white,12.083333333333334,4166,C50,Giuoco Piano,6,0.0,2.0,2.0,0.49,0.02
1.0,39,3.0,white,15.083333333333334,4454,C64,Ruy Lopez: Classical Variation,6,0.0,2.0,2.0,0.29,0.03
1.0,35,2.0,white,6.083333333333333,156,D02,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,5,0.0,2.0,2.0,0.19,0.03
1.0,34,1.0,black,6.083333333333333,2475,B00,King's Pawn Game: Nimzowitsch Defense,3,0.0,2.0,2.0,0.2,0.03
1.0,34,3.0,white,15.0,4434,C65,Ruy Lopez: Berlin Defense |  Beverwijk Variation,8,0.0,2.0,2.0,0.31,0.03
1.0,61,2.0,white,10.0,4182,C58,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,11,0.0,2.0,2.0,0.18,0.02
1.0,26,3.0,black,10.05,2525,B03,Alekhine Defense #3,7,0.0,2.0,2.0,0.3,0.04
1.0,41,3.0,white,10.083333333333334,3813,B00,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,5,0.0,2.0,2.0,0.16,0.02
1.0,18,3.0,black,6.116666666666666,6227,C00,French Defense #2,2,0.0,2.0,2.0,0.16,0.05
1.0,46,1.0,black,20.0,4571,C77,Ruy Lopez: Morphy Defense |  Anderssen Variation,9,0.0,2.0,0.0,0.24,0.02
1.0,75,1.0,white,20.0,4202,C23,Bishop's Opening,3,0.0,0.0,2.0,0.28,0.01
1.0,48,3.0,black,10.0,5595,C41,Philidor Defense #2,4,0.0,2.0,2.0,0.13,0.02
1.0,14,3.0,black,10.0,291,A01,Nimzo-Larsen Attack: Modern Variation #4,5,0.0,2.0,2.0,0.12,0.07
1.0,33,1.0,white,10.0,4032,B07,Pirc Defense #4,2,0.0,2.0,2.0,0.08,0.03
1.0,42,1.0,black,10.0,5384,C44,Scotch Game,5,0.0,2.0,2.0,0.17,0.02
1.0,37,3.0,white,10.0,4167,C50,Giuoco Piano,6,0.0,2.0,2.0,0.22,0.03
1.0,101,1.0,white,10.0,4460,C60,Ruy Lopez,5,0.0,2.0,2.0,0.16,0.01
1.0,51,1.0,white,10.0,2538,B00,Ware Defense,2,0.0,2.0,2.0,0.15,0.02
1.0,22,1.0,black,10.083333333333334,15,C50,Four Knights Game: Italian Variation,8,0.0,2.0,2.0,0.19,0.05
1.0,45,1.0,white,30.0,846,A51,Indian Game: Budapest Defense,4,0.0,0.0,2.0,0.38,0.02
1.0,42,3.0,black,15.5,3664,B12,Caro-Kann Defense: Advance Variation,5,0.0,2.0,0.0,0.52,0.02
1.0,35,2.0,white,5.083333333333333,1339,D04,Queen's Pawn Game: Colle System |  Anti-Colle,6,0.0,2.0,2.0,0.24,0.03
1.0,42,1.0,black,5.083333333333333,6007,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5,0.0,2.0,2.0,0.09,0.02
1.0,47,3.0,white,15.066666666666666,5588,C41,Philidor Defense #2,4,0.0,2.0,2.0,0.26,0.02
1.0,28,2.0,black,5.083333333333333,4789,C51,Italian Game: Evans Gambit |  Stone-Ware Variation,10,0.0,2.0,0.0,0.25,0.04
1.0,39,1.0,white,5.083333333333333,4728,C50,Four Knights Game: Italian Variation,8,0.0,0.0,2.0,0.18,0.03
1.0,54,3.0,black,10.083333333333334,2786,B23,Sicilian Defense: Closed Variation,3,0.0,2.0,2.0,0.21,0.02
1.0,86,3.0,black,10.0,4352,C46,Four Knights Game: Italian Variation,7,0.0,2.0,3.0,0.16,0.01
1.0,62,0.0,draw,10.0,4722,C50,Giuoco Piano,6,0.0,1.0,2.0,0.2,0.02
1.0,20,2.0,black,30.0,3561,B18,Caro-Kann Defense: Classical Variation,8,0.0,2.0,0.0,0.15,0.05
1.0,55,3.0,white,7.05,4834,C50,Italian Game: Giuoco Pianissimo |  Normal,8,0.0,2.0,2.0,0.21,0.02
1.0,120,2.0,black,10.0,33,A04,Zukertort Opening: Black Mustang Defense,2,0.0,3.0,0.0,0.16,0.01
1.0,101,1.0,white,10.0,221,A04,Zukertort Opening: Queen's Gambit Invitation,2,0.0,3.0,0.0,0.18,0.01
1.0,59,3.0,white,10.0,2244,D03,Queen's Pawn Game: Torre Attack |  Gruenfeld Variation |  Main Line,10,0.0,3.0,3.0,0.22,0.02
1.0,120,3.0,black,10.0,6681,B06,Modern Defense,2,0.0,2.0,3.0,0.13,0.01
1.0,64,1.0,black,10.0,6671,B06,Modern Defense: Bishop Attack,5,0.0,0.0,3.0,0.16,0.02
1.0,79,2.0,white,10.0,241,A04,Zukertort Opening: Kingside Fianchetto,2,0.0,0.0,0.0,0.24,0.01
1.0,49,1.0,white,10.0,69,A04,Reti Opening #2,2,0.0,0.0,2.0,0.11,0.02
1.0,33,3.0,white,10.0,224,A04,Zukertort Opening: Queen's Gambit Invitation,2,0.0,0.0,3.0,0.2,0.03
1.0,32,3.0,black,10.0,6712,B06,Robatsch (Modern) Defense,4,0.0,0.0,0.0,0.1,0.03
1.0,40,1.0,black,10.0,325,A00,Polish Opening,1,0.0,0.0,0.0,0.13,0.03
1.0,65,3.0,white,10.0,68,A04,Reti Opening #2,2,0.0,0.0,0.0,0.15,0.01
1.0,29,3.0,black,10.0,172,A07,King's Indian Attack,3,0.0,0.0,0.0,0.07,0.03
1.0,130,1.0,black,10.0,226,A04,Zukertort Opening: Queen's Gambit Invitation,2,0.0,0.0,0.0,0.13,0.01
1.0,46,1.0,black,10.0,2505,B02,Alekhine Defense: Maroczy Variation,3,0.0,0.0,0.0,0.13,0.02
1.0,84,1.0,black,10.0,4210,C26,Vienna Game: Stanley Variation |  Reversed Spanish,6,0.0,0.0,0.0,0.14,0.01
1.0,144,3.0,black,10.0,80,A04,Zukertort Opening: Queenside Fianchetto Variation,2,0.0,0.0,0.0,0.12,0.01
1.0,58,1.0,black,10.0,6705,B06,Robatsch (Modern) Defense,4,0.0,0.0,0.0,0.17,0.02
1.0,68,1.0,black,10.0,5508,C42,Russian Game: French Attack,9,0.0,0.0,0.0,0.13,0.02
1.0,61,1.0,white,10.0,195,A04,Zukertort Opening: Pirc Invitation,2,0.0,0.0,0.0,0.08,0.02
1.0,49,1.0,white,10.0,73,A39,English Opening: Symmetrical Variation |  Mecking Variation,13,0.0,0.0,0.0,0.12,0.02
1.0,48,3.0,white,10.0,176,A08,King's Indian Attack,4,0.0,0.0,0.0,0.13,0.02
1.0,73,3.0,white,10.0,31,D02,Queen's Pawn Game: Chigorin Variation,4,0.0,0.0,0.0,0.11,0.01
1.0,104,3.0,black,10.0,6707,B08,Pirc Defense: Classical Variation,8,0.0,0.0,0.0,0.16,0.01
1.0,19,3.0,white,10.0,173,A07,King's Indian Attack,3,0.0,0.0,0.0,0.09,0.05
1.0,33,3.0,white,10.0,174,A07,King's Indian Attack,3,0.0,0.0,0.0,0.14,0.03
1.0,74,2.0,black,10.0,1063,A45,Indian Game: Omega Gambit,3,0.0,1.0,0.0,0.2,0.01
1.0,85,3.0,white,10.0,6691,B06,Modern Defense: Bishop Attack,5,0.0,3.0,0.0,0.13,0.01
1.0,114,2.0,black,10.0,805,A45,Indian Game,2,0.0,0.0,0.0,0.15,0.01
1.0,13,3.0,white,10.0,70,A08,King's Indian Attack,4,0.0,0.0,0.0,0.09,0.08
1.0,59,3.0,white,10.0,229,A04,Zukertort Opening: Dutch Variation,2,0.0,0.0,0.0,0.17,0.02
1.0,33,3.0,white,10.0,72,A05,King's Indian Attack: Symmetrical Defense,4,0.0,0.0,0.0,0.11,0.03
1.0,30,3.0,black,10.0,2521,B02,Alekhine Defense: Two Pawn Attack,5,0.0,0.0,0.0,0.15,0.03
1.0,30,3.0,white,10.0,208,A13,English Opening: Agincourt Defense #3,3,0.0,0.0,0.0,0.08,0.03
1.0,69,3.0,white,10.0,32,D02,Queen's Pawn Game: Chigorin Variation,4,0.0,0.0,0.0,0.21,0.01
1.0,110,2.0,black,10.0,6692,B06,Modern Defense: Bishop Attack,5,0.0,0.0,0.0,0.16,0.01
1.0,86,2.0,black,10.0,675,A46,Indian Game: London System,5,0.0,0.0,0.0,0.2,0.01
0.0,28,1.0,black,30.0,6843,A00,Grob Opening,1,0.0,2.0,0.0,0.58,0.04
1.0,23,3.0,black,30.0,1865,D30,Queen's Gambit Declined,4,0.0,2.0,0.0,0.41,0.04
1.0,53,1.0,white,30.0,3986,B13,Caro-Kann Defense: Exchange Variation,5,0.0,0.0,2.0,0.3,0.02
1.0,31,3.0,white,30.0,5371,C45,Scotch Game,7,0.0,0.0,0.0,0.36,0.03
1.0,53,3.0,black,30.0,5367,C45,Scotch Game,7,0.0,0.0,0.0,0.42,0.02
1.0,49,1.0,white,30.0,4319,C23,Bishop's Opening: Philidor Counterattack,4,0.0,0.0,2.0,0.35,0.02
1.0,29,1.0,white,30.0,2656,B20,Sicilian Defense: Bowdler Attack,3,0.0,0.0,0.0,0.34,0.03
1.0,26,1.0,black,30.0,6037,C22,Center Game: Normal Variation,6,0.0,0.0,0.0,0.52,0.04
1.0,53,3.0,white,30.0,2631,B20,Sicilian Defense: Bowdler Attack,3,0.0,0.0,2.0,0.3,0.02
1.0,26,3.0,black,30.0,4274,C24,Bishop's Opening: Berlin Defense,4,0.0,0.0,0.0,0.35,0.04
1.0,44,3.0,white,30.0,4314,C23,Bishop's Opening,3,0.0,0.0,2.0,0.41,0.02
1.0,31,1.0,white,30.0,1482,D06,Queen's Gambit,3,0.0,0.0,0.0,0.52,0.03
1.0,34,3.0,black,30.0,5056,C55,Italian Game: Anti-Fried Liver Defense,6,0.0,0.0,0.0,0.25,0.03
1.0,116,3.0,black,30.0,4201,C50,Italian Game: Giuoco Pianissimo,7,0.0,0.0,2.0,0.2,0.01
1.0,47,3.0,black,30.0,4782,C51,Italian Game: Evans Gambit Declined,8,0.0,0.0,0.0,0.46,0.02
1.0,35,3.0,white,30.0,4335,C23,Bishop's Opening,3,0.0,0.0,2.0,0.22,0.03
1.0,28,1.0,black,30.0,3823,B01,Scandinavian Defense,2,0.0,0.0,2.0,0.25,0.04
1.0,54,0.0,draw,10.0,3951,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,0.0,0.0,2.0,0.1,0.02
0.0,27,3.0,white,3.0,4946,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11,0.0,2.0,2.0,0.1,0.04
0.0,18,3.0,black,3.0,829,D06,Queen's Gambit Refused: Marshall Defense,4,0.0,2.0,2.0,0.08,0.05
1.0,31,3.0,white,20.0,1848,D26,Queen's Gambit Accepted: Classical Defense |  Steinitz Variation |  Exchange Variation,12,0.0,0.0,0.0,0.2,0.03
1.0,60,1.0,black,5.166666666666667,2795,B23,Sicilian Defense: Closed,4,0.0,0.0,0.0,0.24,0.02
0.0,89,3.0,white,4.1,6484,C09,French Defense: Tarrasch Variation |  Open System |  Main Line,10,0.0,3.0,0.0,0.17,0.01
0.0,66,3.0,black,4.1,1389,D03,Queen's Pawn Game: Torre Attack,5,0.0,0.0,3.0,0.19,0.01
1.0,64,3.0,black,5.133333333333334,2022,A40,Horwitz Defense,2,0.0,2.0,0.0,0.21,0.02
0.0,77,3.0,white,5.083333333333333,6488,C10,French Defense: Rubinstein Variation |  Kasparov Attack,13,0.0,3.0,0.0,0.21,0.01
0.0,49,3.0,white,5.083333333333333,3178,B90,Sicilian Defense: Najdorf Variation,10,0.0,3.0,0.0,0.23,0.02
0.0,71,3.0,white,5.083333333333333,6486,C08,French Defense: Tarrasch |  Open |  4.exd5 exd5,8,0.0,3.0,0.0,0.2,0.01
1.0,49,3.0,white,8.033333333333333,1411,D05,Colle System: Traditional Colle,9,0.0,0.0,3.0,0.34,0.02
1.0,78,1.0,black,10.25,3384,B22,Sicilian Defense: Alapin Variation,3,0.0,0.0,0.0,0.33,0.01
1.0,35,3.0,white,5.083333333333333,2158,C02,French Defense: Advance Variation |  Main Line,11,0.0,0.0,0.0,0.2,0.03
1.0,102,1.0,black,7.05,1346,D02,Queen's Pawn Game: Anti-Torre,4,0.0,0.0,2.0,0.18,0.01
0.0,122,3.0,black,8.0,2883,B56,Sicilian Defense: Classical Variation,10,0.0,3.0,0.0,0.11,0.01
1.0,120,2.0,black,8.0,5110,C46,Three Knights Opening,5,0.0,0.0,0.0,0.12,0.01
1.0,67,3.0,white,5.083333333333333,6422,C00,French Defense: Normal Variation,3,0.0,3.0,3.0,0.13,0.01
1.0,83,3.0,white,5.083333333333333,2450,B00,Nimzowitsch Defense,2,0.0,3.0,3.0,0.14,0.01
1.0,97,0.0,draw,5.083333333333333,6424,C00,French Defense: Normal Variation,3,0.0,3.0,3.0,0.11,0.01
1.0,45,3.0,white,5.083333333333333,3236,B53,Sicilian Defense: Modern Variations |  Tartakower,7,0.0,3.0,3.0,0.16,0.02
1.0,106,3.0,white,5.083333333333333,2467,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5,0.0,3.0,3.0,0.16,0.01
0.0,78,0.0,draw,7.05,3229,B53,Sicilian Defense: Chekhover Variation,7,0.0,3.0,2.0,0.26,0.01
0.0,19,3.0,white,7.05,3376,B22,Sicilian Defense: Alapin Variation |  Barmen Defense |  Central Exchange,12,0.0,3.0,2.0,0.09,0.05
0.0,122,1.0,black,7.05,2789,B23,Sicilian Defense: Closed Variation,3,0.0,2.0,3.0,0.14,0.01
1.0,22,3.0,white,10.0,3855,B01,Scandinavian Defense: Modern Variation #2,4,0.0,0.0,0.0,0.1,0.05
1.0,93,3.0,black,10.0,909,E11,Bogo-Indian Defense: Wade-Smyslov Variation,8,0.0,0.0,0.0,0.08,0.01
1.0,63,3.0,white,10.0,211,A04,Zukertort Opening: Queen's Gambit Invitation,2,0.0,0.0,0.0,0.15,0.02
1.0,117,1.0,white,18.3,2543,B00,St. George Defense,2,0.0,0.0,2.0,0.13,0.01
1.0,66,3.0,black,20.166666666666668,1584,D10,Slav Defense #2,5,0.0,2.0,0.0,0.41,0.01
1.0,47,3.0,white,20.166666666666668,5766,C41,Philidor Defense,5,0.0,0.0,2.0,0.18,0.02
1.0,40,3.0,black,20.166666666666668,452,D10,Slav Defense,4,0.0,2.0,0.0,0.16,0.02
1.0,35,3.0,black,20.166666666666668,4591,C78,Ruy Lopez: Morphy Defense #2,12,0.0,3.0,2.0,0.24,0.03
1.0,65,3.0,white,20.166666666666668,2956,B38,Sicilian Defense: Accelerated Dragon |  Maroczy Bind,11,0.0,3.0,0.0,0.22,0.02
1.0,42,3.0,black,20.166666666666668,1191,D00,Queen's Pawn Game: Mason Attack,3,0.0,2.0,3.0,0.3,0.02
1.0,79,3.0,white,20.166666666666668,6694,B06,Robatsch (Modern) Defense,4,0.0,3.0,2.0,0.07,0.01
1.0,74,3.0,black,20.166666666666668,1948,D00,Queen's Pawn Game,2,0.0,2.0,3.0,0.37,0.01
0.0,50,3.0,black,5.166666666666667,4720,C60,Ruy Lopez: Nuernberg Variation,6,0.0,3.0,2.0,0.22,0.02
0.0,60,1.0,black,180.0,4374,C27,Vienna Game,3,0.0,2.0,2.0,0.15,0.02
1.0,67,3.0,white,12.05,2491,C27,Vienna Game #2,6,0.0,3.0,3.0,0.2,0.01
1.0,30,3.0,black,8.033333333333333,3348,B20,Sicilian Defense: Wing Gambit |  Marshall Variation,5,0.0,3.0,3.0,0.26,0.03
1.0,40,3.0,black,5.083333333333333,849,A52,Budapest Defense: Adler Variation,7,0.0,3.0,3.0,0.21,0.03
1.0,41,1.0,white,5.083333333333333,3346,B20,Sicilian Defense: Wing Gambit |  Carlsbad Variation,6,0.0,3.0,3.0,0.12,0.03
1.0,77,2.0,white,5.083333333333333,569,D35,Queen's Gambit Declined: Normal Defense,6,0.0,3.0,3.0,0.2,0.01
1.0,84,3.0,black,5.083333333333333,691,A45,Indian Game,2,0.0,3.0,3.0,0.19,0.01
1.0,43,3.0,white,5.083333333333333,6546,C02,French Defense: Advance Variation,8,0.0,3.0,3.0,0.19,0.02
1.0,124,3.0,black,5.083333333333333,668,A45,Indian Game,2,0.0,3.0,3.0,0.15,0.01
1.0,62,1.0,black,5.083333333333333,6354,C00,French Defense: Chigorin Variation,3,0.0,3.0,3.0,0.22,0.02
1.0,21,3.0,white,5.083333333333333,6078,C21,Danish Gambit Accepted |  Schlechter Defense,10,0.0,3.0,3.0,0.22,0.05
1.0,136,3.0,white,5.083333333333333,6355,C00,French Defense: Chigorin Variation,3,0.0,3.0,3.0,0.13,0.01
0.0,31,3.0,white,10.05,4506,C67,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,8,0.0,2.0,2.0,0.09,0.03
0.0,15,3.0,black,10.05,5488,C42,Petrov's Defense #2,5,0.0,2.0,2.0,0.25,0.07
1.0,84,3.0,black,7.166666666666667,4430,C64,Ruy Lopez: Classical Variation,6,0.0,2.0,0.0,0.32,0.01
1.0,29,1.0,white,60.083333333333336,191,C41,Philidor Defense #2,4,0.0,0.0,2.0,0.48,0.03
1.0,57,1.0,white,30.0,5646,C41,Philidor Defense #3,5,0.0,2.0,2.0,0.17,0.02
1.0,19,1.0,white,30.0,4858,C44,Scotch Game: Scotch Gambit |  Sarratt Variation,9,0.0,2.0,2.0,0.26,0.05
1.0,63,3.0,white,20.0,4139,C20,Portuguese Opening,3,0.0,2.0,2.0,0.2,0.02
1.0,64,3.0,black,17.133333333333333,5800,C41,Philidor Defense: Exchange Variation,8,0.0,0.0,2.0,0.15,0.02
1.0,23,3.0,white,15.166666666666666,6287,C02,French Defense: Advance Variation |  Paulsen Attack,9,0.0,2.0,2.0,0.26,0.04
1.0,100,3.0,black,40.13333333333333,2725,B20,Sicilian Defense: Bowdler Attack,3,0.0,2.0,0.0,0.18,0.01
1.0,2,3.0,white,20.0,4136,C20,King's Pawn Game,2,0.0,2.0,0.0,4.45,0.5
1.0,64,1.0,black,15.116666666666667,6281,C00,French Defense: Knight Variation,3,0.0,2.0,2.0,0.15,0.02
1.0,85,3.0,white,45.0,4244,C42,Russian Game: Urusov Gambit,5,0.0,0.0,2.0,0.25,0.01
1.0,53,3.0,white,10.0,1045,A45,Indian Game,2,0.0,0.0,2.0,0.22,0.02
1.0,88,3.0,black,21.0,5822,C41,Philidor Defense: Exchange Variation #3,6,0.0,2.0,2.0,0.12,0.01
1.0,17,0.0,draw,10.033333333333333,2714,B20,Sicilian Defense: Bowdler Attack,3,0.0,2.0,0.0,0.26,0.06
1.0,41,3.0,white,15.25,5525,C42,Petrov's Defense,4,0.0,0.0,2.0,0.1,0.02
1.0,46,3.0,black,30.0,5207,C44,King's Knight Opening: Normal Variation,4,0.0,2.0,0.0,0.17,0.02
1.0,61,1.0,white,20.0,4366,C42,Russian Game: Three Knights Game,5,0.0,2.0,2.0,0.18,0.02
1.0,93,3.0,white,30.0,5942,C26,Vienna Game: Mengarini Variation,5,0.0,2.0,2.0,0.26,0.01
1.0,29,3.0,black,20.0,101,B30,Sicilian Defense: Old Sicilian,4,0.0,2.0,2.0,0.27,0.04
1.0,51,1.0,white,45.0,902,D35,Queen's Gambit Declined: Exchange Variation,7,0.0,2.0,2.0,0.22,0.02
1.0,62,3.0,black,40.03333333333333,5282,C45,Scotch Game: Malaniuk Variation,8,0.0,2.0,0.0,0.15,0.02
1.0,59,1.0,white,15.083333333333334,4873,C44,Scotch Game: Benima Defense,8,0.0,2.0,0.0,0.25,0.02
